#{"t_start": 1762241371.858699, "env_id": "None"}
r,l,t
-217.23166,67,0.50984
-459.435,74,0.51221
-58.8218,78,0.513651
-505.89014,83,0.515327
-376.5649,84,0.515793
-375.88092,125,0.52836
-324.3507,128,0.529518
-513.86566,85,0.537248
-498.42606,84,0.540384
-557.1872,164,0.541182
-379.05188,101,0.544604
-256.31567,97,0.546913
-360.4272,118,0.553586
-228.5878,92,0.559499
-545.66003,101,0.57014
-429.53296,135,0.580505
-279.42194,89,0.584609
-315.3853,104,0.58608
-456.7531,119,0.5902
-311.9341,104,0.591585
-700.46814,137,0.607267
-430.07382,85,0.610787
-323.33688,96,0.613123
-316.94543,93,0.614906
-559.7462,94,0.620543
-162.83159,118,0.626766
-652.8024,181,0.627575
-500.1469,158,0.630733
-54.632248,91,0.636237
-519.94183,97,0.643403
-378.04514,93,0.643845
-382.05917,112,0.646132
-249.62863,69,0.651983
-474.695,105,0.65333
-417.16934,119,0.663686
-494.79037,141,0.670939
-344.4418,100,0.674804
-308.9693,131,0.676753
-381.82086,93,0.68196
-636.97534,133,0.684863
-636.0279,141,0.689713
-347.60596,126,0.6911
-449.27118,96,0.693587
-418.5177,77,0.698782
-406.2045,82,0.702236
-327.94427,110,0.705703
-217.3482,89,0.710164
-379.4052,92,0.719881
-612.88617,117,0.721554
-480.57693,102,0.725435
-372.04025,76,0.729137
-269.80933,96,0.732219
-419.54007,148,0.735995
-308.4989,125,0.738312
-204.57126,90,0.738319
-410.7679,83,0.751036
-451.37933,114,0.756549
-385.9655,123,0.757957
-500.7335,81,0.762728
-499.4158,106,0.764944
-118.49418,99,0.766797
-654.7502,128,0.769002
-123.06417,105,0.770706
-209.40286,89,0.785468
-462.9286,93,0.793524
-226.69049,92,0.796968
-586.30005,116,0.798604
-617.1284,153,0.803734
-569.61694,174,0.804838
-565.5073,139,0.809398
-133.70091,83,0.811097
-539.448,164,0.820703
-581.5154,108,0.827036
-560.4453,103,0.836465
-521.40027,96,0.838972
-590.8384,137,0.840898
-321.9138,103,0.842782
-602.6664,149,0.84337
-581.5692,152,0.851314
-562.1067,104,0.853563
-511.73993,98,0.867345
-626.3094,94,0.872611
-627.19794,155,0.875592
-449.69833,109,0.877283
-263.45422,125,0.880461
-553.66705,98,0.882155
-557.0419,149,0.886235
-591.6643,138,0.896591
-120.25343,84,0.899207
-182.3879,79,0.905134
-552.74194,78,0.910392
-397.36554,113,0.911196
-612.0097,144,0.912869
-508.9102,81,0.922209
-420.7824,139,0.925898
-384.24902,154,0.925907
-158.87604,86,0.926742
-361.49246,72,0.933594
-545.0697,103,0.945295
-301.78012,125,0.95074
-272.28568,85,0.953317
-80.35643,91,0.954763
-543.73083,127,0.962252
-623.576,204,0.969722
-591.7924,121,0.971721
-42.972885,102,0.97762
-586.23816,185,0.984068
-466.41837,99,0.993184
-49.121655,129,0.993689
-446.50632,89,0.99739
-553.385,156,0.999757
-334.15942,97,1.001979
-364.0751,87,1.010883
-469.3274,91,1.021363
-957.089,222,1.023307
-518.4334,89,1.026647
-553.5099,167,1.029062
-564.876,103,1.02907
-505.36697,128,1.032769
-311.8185,131,1.04189
-177.40425,116,1.046545
-427.08572,84,1.052726
-438.95676,108,1.056892
-86.80307,96,1.058975
-164.48521,122,1.059795
-548.46265,91,1.06142
-256.25507,124,1.067927
-498.9424,82,1.072504
-451.04608,132,1.083321
-361.98883,92,1.085876
-77.60832,99,1.090006
-510.95425,96,1.091339
-380.80096,163,1.103812
-587.1207,161,1.109715
-646.9903,124,1.111142
-337.10828,76,1.115009
-369.28107,105,1.116455
-646.5524,157,1.117259
-435.2729,100,1.117715
-430.15646,93,1.119689
-503.78467,86,1.131302
-85.54776,107,4.668034
-296.60028,120,4.673489
-209.11478,142,4.675551
-371.32202,84,4.677308
-136.33464,152,4.677845
-124.89055,135,4.681697
-685.2229,151,4.684884
-224.49533,173,4.691445
-147.37097,113,4.712399
-303.6833,102,4.716215
-417.79684,129,4.717894
-177.65192,93,4.720163
-638.6113,187,4.726911
-656.6514,156,4.730144
-560.29083,187,4.732431
-61.973415,94,4.741937
-208.46667,107,4.751027
-555.39246,248,4.753061
-282.06372,88,4.754423
-538.90405,131,4.757261
-628.61664,132,4.761431
-36.164787,100,4.761438
-98.5816,103,4.764598
-313.44495,97,4.772258
-326.93854,119,4.789491
-620.8795,109,4.790569
-270.90167,102,4.792532
-272.115,105,4.796574
-333.23248,142,4.798214
-463.8227,157,4.799917
-194.9661,97,4.802273
-126.41845,187,4.818911
-315.91162,108,4.82328
-515.7489,95,4.827605
-434.30756,115,4.828371
-119.63959,129,4.831115
-508.98337,118,4.833632
-416.53116,150,4.846285
-278.1411,90,4.851266
-63.94459,93,4.856626
-466.15454,106,4.866137
-174.1069,116,4.866908
-504.15228,167,4.871263
-503.64218,225,4.872375
-241.10526,145,4.874105
-173.6571,104,4.879314
-447.36554,103,4.889231
-584.25507,110,4.901237
-119.44104,97,4.90211
-7.2732773,95,4.90262
-593.0447,166,4.904352
-295.59045,102,4.911811
-443.09473,124,4.913591
-341.00745,79,4.914987
-425.44992,152,4.91609
-238.99222,104,4.935658
-484.01016,113,4.940146
-89.7255,82,4.9419
-330.39322,127,4.942368
-414.16006,136,4.945885
-243.79092,134,4.95459
-511.99597,145,4.96083
-365.86148,177,4.969431
-254.46191,91,4.971136
-52.95588,92,4.971142
-510.60815,115,4.97667
-281.44763,176,4.991186
-570.8351,126,4.994149
-448.661,134,5.002729
-587.4496,192,5.006038
-69.06006,97,5.007237
-450.05185,125,5.010336
-160.93388,87,5.018781
-207.83588,96,5.024423
-609.65674,183,5.027344
-621.925,188,5.030325
-301.76373,109,5.040697
-414.5496,111,5.042405
-10.63546,105,5.043828
-126.14692,93,5.048571
-78.63683,157,5.052945
-420.77,104,5.062999
-396.59302,134,5.069539
-131.53175,100,5.073627
-369.09116,82,5.074083
-442.81903,116,5.079892
-398.00226,142,5.08512
-622.3901,117,5.089168
-240.92276,218,5.092861
-339.01685,102,5.094816
-441.59988,82,5.099459
-177.38338,101,5.101153
-420.4895,87,5.106924
-150.5333,85,5.1155
-290.36676,116,5.121157
-199.51038,90,5.122845
-461.39206,104,5.125601
-62.889942,113,5.136414
-384.07938,204,5.137666
-504.92392,121,5.137675
-18.382965,101,5.139041
-433.64862,86,5.152312
-305.39148,109,5.155524
-204.11508,84,5.163505
-421.54874,90,5.164575
-257.4436,142,5.167544
-125.24386,175,5.170818
-424.1728,118,5.174606
-268.68463,119,5.176274
-206.22179,108,5.186402
-124.0663,82,5.190561
-553.00256,109,5.201482
-405.22125,113,5.205811
-246.94568,136,5.206275
-712.77997,166,5.207663
-179.29196,156,5.222626
-635.66174,165,5.226998
-194.90048,138,5.228956
-458.73715,89,5.233335
-371.7109,153,5.237694
-480.98465,123,5.239772
-493.55054,123,5.245589
-546.70154,149,5.252379
-333.60388,101,5.254371
-430.17273,112,5.262094
-376.37674,80,5.26466
-550.64453,119,5.266371
-263.11935,120,5.270982
-226.87363,118,5.274842
-513.158,105,5.285143
-89.801735,81,5.290103
-392.82278,108,5.296
-299.0252,143,5.299272
-236.26425,175,5.300757
-185.5409,132,8.604045
-60.969406,119,8.604886
-481.11505,120,8.608853
-271.56586,98,8.612708
-231.01736,94,8.616303
-50.22997,98,8.626633
-95.28643,111,8.627835
-67.493805,84,8.631668
-99.00311,122,8.635934
-110.37444,124,8.648266
12.043488,125,8.655719
-360.8591,147,8.65915
-173.7142,110,8.661448
-546.2385,104,8.668331
-94.40401,117,8.668339
-243.6397,150,8.674652
-411.55563,107,8.681503
-296.80005,264,8.687151
-128.84935,115,8.697914
-25.717896,139,8.704169
-167.4598,115,8.705927
-255.79597,167,8.710459
-475.89438,112,8.712558
-249.45467,103,8.717021
-30.443878,151,8.718958
-62.706867,97,8.721389
-110.606,90,8.735635
-310.9146,89,8.73723
-22.333778,116,8.739106
-210.6388,96,8.747799
-4.147522,106,8.749831
-33.554024,86,8.751291
-300.31616,95,8.752647
-340.8872,111,8.777274
-464.54303,136,8.782581
-190.8121,106,8.783976
-473.78513,145,8.788005
-793.8969,191,8.788026
-310.47446,112,8.788033
-163.58234,186,8.808095
-341.16443,94,8.816877
-407.45935,95,8.817348
-504.80545,122,8.822645
-445.0859,230,8.825968
-2.7299728,130,8.828675
-333.98676,162,8.829811
-30.583946,169,8.837127
-224.89575,87,8.845319
-344.98367,120,8.846803
-303.24194,86,8.856024
-236.85413,97,8.860585
-137.4956,139,8.86739
-46.504253,131,8.868187
-243.60043,173,8.872603
-315.77795,88,8.874806
-223.97012,120,8.883361
-93.58096,108,8.890224
-187.78215,121,8.898554
-309.64056,117,8.90453
-300.76694,110,8.908917
-422.95993,122,8.910608
-259.82315,104,8.915827
-448.1584,254,8.917297
-82.07892,82,8.935755
-483.26343,111,8.939011
-317.847,100,8.940123
-76.87279,108,8.950559
-681.7038,201,8.952828
-537.7788,282,8.955409
-314.5284,139,8.959174
-349.34183,92,8.967751
-130.81706,118,8.972761
-405.2037,144,8.984744
-239.71559,111,8.985233
-340.90063,280,8.986015
-23.267265,121,8.997092
-287.7149,138,8.998783
-275.80997,107,9.001533
-278.74866,106,9.006126
-212.94958,180,9.009197
-33.367958,101,9.016878
-155.6167,120,9.022402
-193.22568,83,9.027207
-360.128,108,9.032338
-309.58197,113,9.032345
-16.494926,95,9.035796
-286.43182,89,9.037306
-380.91174,171,9.039891
-162.62717,112,9.051776
-327.29327,100,9.053726
-209.73996,118,9.063774
-182.18103,105,9.06488
-186.7417,134,9.073869
-235.72484,126,9.074941
-262.9145,124,9.078104
-332.01028,118,9.090163
-433.3775,185,9.094236
-295.2414,121,9.112087
-36.310707,156,9.112093
-524.9103,179,9.120009
-133.00084,95,9.123608
-115.44324,233,9.124117
-46.59696,161,9.127955
-89.680435,141,9.134052
-253.82758,211,9.139362
-204.63893,101,9.14378
-318.62903,125,9.1511
-385.13895,105,9.15307
-280.90628,88,9.155346
-181.45566,102,9.155787
-18.424896,109,9.158347
-196.48856,114,9.169488
-190.7059,113,9.174457
-163.66022,101,9.175245
-191.13219,92,9.184202
-437.75995,115,9.187147
-375.79657,125,9.196724
-167.26358,148,9.199147
-190.01102,98,9.200317
-277.26245,89,9.202717
-309.83044,216,9.222491
-285.14874,124,9.223006
-305.48062,120,9.224733
-82.034676,98,9.227964
-121.67298,171,9.229082
-378.70663,93,9.232024
-235.44716,108,9.233654
-223.24046,121,9.238539
-282.0366,87,9.250477
-335.826,86,12.523953
-66.29717,121,12.529032
-643.8767,133,12.534652
-464.38013,154,12.544222
-23.481873,125,12.546097
-167.48059,146,12.546115
2.236206,231,12.574145
-509.28918,156,12.578459
-92.07585,173,12.57898
-65.76906,210,12.585484
-161.70044,126,12.586279
-316.16122,170,12.589185
-204.1996,150,12.592678
-42.091988,80,12.604326
-180.29022,112,12.609865
-246.7224,119,12.616105
-131.59973,234,12.619852
-311.1239,119,12.629345
-43.11321,105,12.636783
-159.71902,173,12.640095
-351.81586,193,12.645704
-23.15599,98,12.650632
-499.36932,152,12.657466
-310.84943,233,12.661883
-192.1261,161,12.666681
-213.83401,130,12.677543
-135.26053,131,12.681066
-456.16156,180,12.685666
-54.77385,101,12.688925
-462.7644,135,12.692832
-75.07979,162,12.711979
-371.9608,231,12.71791
-457.75372,171,12.719937
